question_id,question_preview,config_method,config_k,config_dense_weight,config_bm25_weight,latency_ms,num_chunks,top_score,avg_score,min_score,max_score
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",dense,3,,,576.14,3,0.7599,0.7160,0.6894,0.7599
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",dense,5,,,671.24,5,0.7599,0.7035,0.6844,0.7599
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",dense,10,,,678.10,10,0.7599,0.6888,0.6722,0.7599
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",bm25,3,,,2.34,3,18.3218,16.0051,14.1619,18.3218
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",bm25,5,,,2.83,5,18.3218,14.0428,9.5895,18.3218
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",bm25,10,,,3.61,10,18.3218,11.2687,8.0502,18.3218
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",hybrid,3,0.7,0.3,379.01,3,0.0164,0.0160,0.0156,0.0164
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",hybrid,5,0.7,0.3,376.70,5,0.0164,0.0150,0.0125,0.0164
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",hybrid,10,0.7,0.3,401.69,10,0.0164,0.0128,0.0101,0.0164
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",hybrid,5,0.5,0.5,427.14,5,0.0164,0.0149,0.0126,0.0164
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",dense,3,,,402.48,3,0.7716,0.7306,0.7058,0.7716
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",dense,5,,,682.06,5,0.7716,0.7150,0.6818,0.7716
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",dense,10,,,671.76,10,0.7716,0.6973,0.6780,0.7716
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",bm25,3,,,2.58,3,18.3218,16.0051,14.1619,18.3218
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",bm25,5,,,2.86,5,18.3218,13.6915,10.1966,18.3218
