question_id,method,k,alpha,latency_ms,num_chunks,top_score,score_normalized,rank_position,avg_score,median_score,std_score,min_score,max_score,score_range,total_chars,total_words
q001,dense,3,,812.94,3,0.759929,0.041396,4,0.716039,0.698806,0.038301,0.689382,0.759929,0.070546,935,165
q001,dense,5,,385.32,5,0.759929,0.041396,5,0.703457,0.689382,0.032098,0.684368,0.759929,0.07556,2729,489
q001,dense,10,,637.44,10,0.759929,0.041396,6,0.68882,0.680515,0.026403,0.672195,0.759929,0.087734,5228,867
q001,bm25,3,,3.9,3,18.321838,1.0,1,16.005141,15.531678,2.119995,14.161908,18.321838,4.15993,3005,501
q001,bm25,5,,3.37,5,18.321838,1.0,2,14.042774,14.161908,3.256884,9.589458,18.321838,8.73238,4576,745
q001,bm25,10,,2.26,10,18.321838,1.0,3,11.268654,9.454802,3.658018,8.050204,18.321838,10.271634,10416,1730
q001,hybrid,3,0.7,401.3,3,0.001546,0.0,7,0.001542,0.001542,4e-06,0.001538,0.001546,8e-06,935,165
q001,hybrid,5,0.7,375.44,5,0.001546,0.0,8,0.00153,0.001538,1.8e-05,0.001502,0.001546,4.3e-05,4981,817
q001,hybrid,10,0.7,404.26,10,0.001546,0.0,9,0.001302,0.00129,0.000241,0.001069,0.001546,0.000477,8289,1339
q001,hybrid,5,0.5,391.43,5,0.001546,0.0,10,0.001529,0.001534,1.7e-05,0.001503,0.001546,4.3e-05,4981,817
q002,dense,3,,571.98,3,0.771604,0.042033,4,0.730588,0.714313,0.035772,0.705847,0.771604,0.065757,935,165
q002,dense,5,,395.55,5,0.771604,0.042033,5,0.71498,0.705847,0.033826,0.681808,0.771604,0.089796,3812,597
q002,dense,10,,640.4,10,0.771604,0.042033,6,0.697333,0.681569,0.02925,0.67795,0.771604,0.093654,8195,1278
q002,bm25,3,,3.53,3,18.321838,1.0,1,16.005141,15.531678,2.119995,14.161908,18.321838,4.15993,3005,501
